Bait	Prey	PreyGene	IP	Spec	SpecSum	NumRep	Prob	iProb	ctrlCounts	AvgP	MaxP	FDR
MTHFR	O00566	MPHOSPH10	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|2|0	2	3	0.00	0.00|0.00|0.00	6|0|0	0.0000	0.0000	0.9965
MTHFR	Q13573	SNW1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|2|0	2	3	0.00	0.00|0.00|0.00	13|0|0	0.0000	0.0000	0.9965
MTHFR	Q04917	YWHAH	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|0|0	1	3	0.00	0.00|0.00|0.00	1|0|0	0.0000	0.0000	0.9965
MTHFR	P27694	RPA1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	3|10|1	14	3	0.00	0.00|0.00|0.00	14|0|5	0.0000	0.0000	0.9965
MTHFR	P62277	RPS13	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	16|9|14	39	3	0.00	0.00|0.00|0.00	15|11|15	0.0000	0.0000	0.9965
MTHFR	Q96E39	RBMXL1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|1|0	1	3	0.00	0.00|0.00|0.00	1|0|0	0.0000	0.0000	0.9965
MTHFR	O75955	FLOT1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|1|0	1	3	0.00	0.00|0.00|0.00	6|0|0	0.0000	0.0000	0.9965
MTHFR	P17858	PFKL	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|0|1	1	3	0.00	0.00|0.00|0.00	1|0|0	0.0000	0.0000	0.9965
MTHFR	P62273	RPS29	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|0|1	2	3	0.00	0.00|0.00|0.00	2|0|1	0.0000	0.0000	0.9965
MTHFR	Q9BTC8	MTA3	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|1|0	1	3	0.00	0.00|0.00|0.00	2|0|0	0.0000	0.0000	0.9965
MTHFR	Q9H3K6	BOLA2;BOLA2B	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|1|1	4	3	0.16	0.28|0.06|0.11	1|0|0	0.1492	0.2775	0.7754
MTHFR	Q9UJV9	DDX41	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|1|0	1	3	0.00	0.00|0.00|0.00	3|0|0	0.0000	0.0000	0.9965
MTHFR	P61006	RAB8A	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|0|1	2	3	0.00	0.00|0.00|0.00	1|0|0	0.0000	0.0000	0.9965
MTHFR	P60842	EIF4A1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	7|4|7	18	3	0.00	0.00|0.00|0.00	12|3|6	0.0000	0.0000	0.9965
MTHFR	Q86UK7	ZNF598	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|0|1	3	3	0.01	0.03|0.00|0.00	1|0|2	0.0100	0.0275	0.9457
MTHFR	Q8IZL8	PELP1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|12|0	12	3	0.03	0.00|0.11|0.00	13|0|0	0.0375	0.1125	0.9134
MTHFR	Q9BSD7	NTPCR	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|2|1	3	3	0.00	0.00|0.00|0.00	3|2|1	0.0008	0.0025	0.9685
MTHFR	O94979	SEC31A	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|0|1	3	3	0.06	0.12|0.00|0.02	1|0|0	0.0467	0.1175	0.9035
